Manifesto;Filial;Data;Veículo;Destino;Serviços;NFs;Kg Real;Kg Taxado;M3;Vale frete;Valor NF;Valor Fretes;Valor Final;% Aprov. Veículo;Km saída;Km chegada;Km final;Classificação;Observações operacionais;Status;Usuário
77980;LSP REIS MATRIZ SJC;12/09/2025;ETW2J69;Biritiba Mirim, Mogi das Cruzes;22;24;1206;1206;0;609;39914;898;898;75;618862;619057;195;MINERVA;172,06 KM;Finalizado;Matheus Antonioli
77981;LSP REIS MATRIZ SJC;12/09/2025;KQV2B20;Guaratinguetá, Lorena;8;22;2211;2211;0;777;36499;1626;1626;130;172901;173182;281;FRZ Log;;Finalizado;Juliana Curi Ferreira
77982;LSP REIS MATRIZ SJC;12/09/2025;QGB4G99;Paraibuna, Jambeiro, Caraguatatuba, São José dos Campos;12;17;1354;1354;0;719;42542;1042;1042;84;138670;138942;272;MINERVA;251,41 KM;Finalizado;Matheus Antonioli
77983;LSP REIS MATRIZ SJC;12/09/2025;CFY3E22;Paraty;3;3;1474;1474;0;922;58002;1288;1288;92;193709;194166;457;MINERVA;386,97 KM;Finalizado;Matheus Antonioli
77984;LSP REIS MATRIZ SJC;12/09/2025;HFI7H71;Pindamonhangaba, Taubaté;24;28;1429;1429;0;673;49505;1009;1009;95;413812;414042;230;MINERVA;233,11 KM;Finalizado;Matheus Antonioli
77985;LSP REIS MATRIZ SJC;12/09/2025;EFV6J80;Santos, Guarujá;2;8;1248;1248;0;927;12504;1129;1129;78;374201;374662;461;FRZ Log;;Finalizado;Juliana Curi Ferreira
77986;LSP REIS MATRIZ SJC;12/09/2025;QPS6A46;Santa Isabel, Jacareí;22;25;1405;1405;0;538;44056;768;768;93;101274;101382;108;MINERVA;;Finalizado;Matheus Antonioli
77987;LSP REIS MATRIZ SJC;12/09/2025;EGD6F32;Guarulhos, Francisco Morato;12;12;909;909;0;780;29309;517;517;56;653460;653788;328;FRZ Log;EMBARCADO AS NFS: 257778 257838;Finalizado;Juliana Curi Ferreira
77988;LSP REIS MATRIZ SJC;12/09/2025;GAE7H63;Jacareí;6;10;675;675;0;638;18096;498;498;42;175098;175297;199;FRZ Log;;Finalizado;Juliana Curi Ferreira
77989;LSP REIS MATRIZ SJC;12/09/2025;FKT2B95;Suzano, Ferraz de Vasconcelos, Poá, Itaquaquecetuba;31;35;1304;1304;0;669;42918;967;967;86;196815;197042;227;MINERVA;210,11 KM;Finalizado;Matheus Antonioli
77990;LSP REIS MATRIZ SJC;12/09/2025;FSO4C01;São José dos Campos;6;16;1501;1501;0;0;34409;1133;1133;42;391813;392020;207;FRZ Log;;Finalizado;Juliana Curi Ferreira
77991;LSP REIS MATRIZ SJC;12/09/2025;FLF2F36;São José dos Campos;31;38;1498;1498;0;550;54914;727;727;93;160114;160206;92;MINERVA;77,99 KM;Em trânsito;Matheus Antonioli
